Solução Original: [78, 37, 50, 9, 91, 80, 86, 48, 85, 63, 30, 64, 71, 62, 60, 43, 39, 81, 24, 47, 73, 27, 34, 76, 68, 31, 96, 21, 77, 12, 51, 22, 19, 0, 35, 72, 23, 99, 46, 36, 45, 10, 93, 8, 41, 82, 90, 2, 55, 97, 6, 32, 4, 74, 75, 57, 58, 5, 40, 44, 87, 25, 3, 28, 69, 79, 56, 84, 15, 1, 65, 88, 20, 26, 83, 11, 59, 33, 18, 92, 94, 38, 66, 29, 16, 17, 53, 49, 67, 54, 7, 70, 98, 14, 61, 42, 52, 95, 89, 13, 78]
Distância Original: 5006km

Hill Climbing	Simulated Annealing

2237				1368
2248				1496
2062				1492
1808				1446
1735				1474
1702				1535
1993				1510
2019				1392
1710				1447
1908				1384
1876				1467
2081				1505
1816				1431
1735				1368
1855				1498
2011				1563
1637				1469
1598				1462
1700				1407
1906				1494
2013				1358
1848				1429
1793				1477
1792				1514
1787				1518
1610				1371
1798				1599
1862				1365
1966				1482
1924				1474
1719				1430
1726				1643
1838				1469
1850				1571
1902				1415
1850				1453
2016				1480
2175				1518
1782				1459
2501				1418
1642				1556
1953				1431
1540				1451
2027				1474
2115				1341
1791				1351
1681				1397
2577				1443
1943				1489
1743				1514
1475				1377
1717				1440
1842				1389
1763				1383
2004				1551
1624				1341
1787				1459
1654				1324
1653				1496
1686				1463
1637				1533
1958				1397
1656				1343
1634				1436
2141				1327
1908				1467
1746				1505
1990				1386
2059				1432
1915				1476
1805				1475
1808				1513
1759				1496
1731				1472
1844				1369
1992				1333
1666				1483
1748				1557
1922				1534
1826				1438
1756				1428
1804				1385
1762				1383
1788				1463
1695				1423
1922				1409
1772				1481
1874				1352
1813				1479
1750				1260
2006				1479
1850				1424
1652				1480
1784				1444
1781				1497
1960				1583
1719				1516
1855				1496
1796				1422
1929				1440
2051				1501
1727				1522
1735				1504
1650				1312
2123				1447
1782				1528
1937				1407
1991				1350
2232				1541
2046				1451
1901				1424
1791				1420
2025				1374
1689				1452
