Solução Original: [21, 4, 44, 33, 6, 18, 25, 42, 37, 28, 38, 35, 20, 30, 0, 34, 32, 47, 17, 11, 16, 48, 15, 24, 46, 10, 2, 1, 49, 7, 9, 41, 3, 13, 14, 29, 19, 5, 31, 36, 23, 8, 22, 39, 40, 12, 26, 43, 45, 27, 21]
Distância Original: 4601km

Hill Climbing	Simulated Annealing

2232				1331
2771				1188
1753				1472
2776				1386
2288				1236
2265				1334
2503				1262
2142				1471
1678				1258
2422				1526
2080				1277
2313				1426
2024				1410
2154				1376
2424				1285
2105				1467
2268				1427
1927				1295
2199				1581
2279				1408
2106				1450
2159				1397
1862				1398
2027				1370
2348				1264
2142				1382
2282				1442
2187				1585
2196				1356
2345				1401
1921				1184
2333				1323
2201				1300
1915				1616
2270				1462
2368				1311
2300				1243
2464				1238
2702				1390
2431				1535
1924				1379
2002				1423
2261				1362
2481				1284
2302				1397
2008				1280
2106				1266
1922				1371
2210				1307
2184				1214
1838				1261
2612				1676
2091				1394
2206				1413
2324				1244
1988				1186
2127				1142
2226				1328
2124				1439
2459				1598
1704				1192
2069				1374
2065				1324
1857				1272
1997				1476
2770				1398
2464				1402
2029				1248
2412				1270
2512				1474
2370				1236
2135				1423
2286				1380
2348				1456
2293				1418
1954				1379
2013				1167
1980				1302
2514				1333
2164				1417
1937				1411
2413				1339
1945				1524
2410				1315
1965				1197
1754				1470
2097				1516
2467				1463
1833				1366
2738				1103
2165				1626
1750				1467
2468				1307
1949				1295
2203				1145
2517				1173
2121				1397
1990				1372
2508				1398
2081				1529
2211				1520
1764				1160
2135				1252
1953				1346
2005				1113
2202				1218
2626				1156
2162				1280
2132				1501
2363				1386
2288				1357
2248				1207
2113				1578
2180				1404
1986				1219
2238				1432
2295				1441
2242				1273
2034				1747
2102				1267
2381				1266
2000				1546
2017				1406
2510				1422
2368				1553
2457				1387
2335				1359
2178				1496
2484				1591
1858				1175
1891				1448
1944				1493
2136				1357
2299				1375
2044				1523
1846				1384
2111				1315
1592				1293
2015				1543
1500				1368
2164				1352
2059				1285
2067				1447
2008				1539
2301				1533
2372				1457
2174				1483
2539				1480
2154				1279
2516				1162
2203				1213
2134				1536
2361				1543
1928				1303
2647				1344
2192				1294
2344				1335
1984				1521
2044				1258
2480				1302
2172				1461
2020				1281
2187				1287
2051				1342
2308				1398
2312				1392
2162				1375
1762				1395
2484				1409
2108				1145
2520				1338
2467				1603
2499				1411
2025				1364
2301				1179
2452				1599
2030				1330
1997				1650
1944				1341
2107				1321
2191				1152
2305				1438
1970				1224
2033				1305
2008				1488
2332				1357
1996				1329
2223				1273
2020				1309
1840				1368
2352				1420
1993				1565
2367				1352
2430				1461
1922				1435
1973				1524
1890				1448
1786				1248
1822				1441
2244				1285
2261				1398
2523				1349
1981				1437
1964				1277
1861				1437
2211				1209
2275				1483
2089				1510
2018				1236
2350				1444
2414				1314
1815				1388
2117				1236
1859				1280
2408				1268
1952				1284
2234				1339
1810				1260
2193				1281
2186				1461
2579				1183
2021				1349
2300				1442
2441				1171
2287				1432
1791				1308
2193				1330
2192				1170
2344				1446
2352				1501
1872				1351
2490				1373
2077				1325
2062				1343
2325				1387
1971				1403
1902				1784
2016				1401
2392				1470
2592				1249
2705				1398
2311				1211
2545				1480
1957				1111
2072				1275
2007				1532
2403				1457
2311				1299
1922				1203
1704				1415
2220				1227
1885				1324
2466				1472
2346				1479
2381				1385
1945				1567
1786				1376
2348				1199
2621				1253
2620				1208
1952				1231
2027				1205
2675				1434
1812				1302
1950				1353
1541				1354
2265				1608
2852				1396
2103				1523
2148				1490
2014				1554
1792				1656
1740				1640
2111				1317
2407				1234
2006				1266
1993				1344
2117				1237
1914				1315
2163				1427
2022				1107
2212				1647
2445				1354
2146				1315
2257				1296
2158				1560
2172				1371
2423				1435
2323				1445
1862				1352
2175				1391
1987				1255
2260				1326
2151				1208
2049				1531
2071				1343
1798				1385
1967				1463
2800				1536
2231				1326
2236				1213
2156				1530
2228				1302
2447				1311
2504				1235
2446				1349
2138				1302
2391				1512
2379				1183
2123				1403
1899				1588
1693				1269
1702				1299
2648				1398
2119				1225
2482				1203
2532				1371
2379				1446
1925				1337
2458				1345
2181				1342
1930				1302
2695				1307
2009				1258
2143				1411
2656				1305
2173				1371
2183				1197
1964				1277
2177				1679
2251				1306
2677				1551
1723				1458
2275				1214
2065				1262
2316				1404
1756				1319
2060				1331
2202				1562
2419				1295
1918				1512
2501				1442
2001				1263
2004				1483
2096				1446
2224				1183
1849				1393
1948				1408
2393				1361
2062				1232
2388				1261
1701				1482
2052				1401
2298				1360
2251				1267
2069				1214
2100				1297
1967				1492
1930				1294
2132				1347
2116				1383
2586				1495
2280				1530
2258				1255
2313				1409
1650				1472
1864				1126
1928				1458
2450				1413
2371				1257
2368				1376
2192				1296
1496				1257
2196				1429
2366				1690
2422				1232
2431				1470
2184				1304
2228				1359
1962				1170
2029				1314
1859				1090
2428				1219
2445				1530
2276				1515
1944				1599
2215				1272
2346				1197
2082				1356
2220				1157
1905				1396
2401				1489
2221				1332
1644				1385
